# ============================================================
# TỪ ĐIỂN TEENCODE & TỪ LÓNG - Bài toán Sentiment Analysis ITviec
# Định dạng: <teencode><TAB><từ chuẩn>
# Cập nhật: 2026-08-27
# ============================================================

# --- TỪ LÓNG ĐẶC THÙ IT/ITVIEC (THÊM MỚI) ---
cty	công ty
cv	công việc
jd	mô tả công việc
hr	nhân sự
pm	quản lý dự án
dev	lập trình viên
fe	frontend
be	backend
fullstack	lập trình viên fullstack
qa	kiểm thử
ba	phân tích nghiệp vụ
ux	thiết kế trải nghiệm người dùng
ui	thiết kế giao diện
po	product owner
sm	scrum master
tl	team lead
tech lead	trưởng nhóm kỹ thuật
mgr	quản lý
ot	làm thêm giờ
wfh	làm việc từ nhà
remote 100%	làm việc từ xa hoàn toàn
hybrid	làm việc kết hợp
onboard	bắt đầu làm việc
offboard	nghỉ việc
resign	nghỉ việc
apply	ứng tuyển
offer	đề nghị việc làm
package	gói lương thưởng
benefit	phúc lợi
insurance	bảo hiểm
kpi	chỉ tiêu hiệu suất
okr	mục tiêu và kết quả then chốt
1on1	cuộc họp một một
review	đánh giá hiệu suất
feedback	phản hồi
sprint	giai đoạn phát triển
standup	họp ngắn hàng ngày
retro	họp đánh giá sprint
backlog	danh sách công việc tồn đọng
deploy	triển khai
ship	triển khai sản phẩm
release	phát hành
bug	lỗi phần mềm
fix	sửa lỗi
refactor	tái cấu trúc code
deadline	hạn chót

# --- TEENCODE PHỔ BIẾN ---
ctrai	con trai
khôg	không
bme	bố mẹ
cta	chúng ta
mih	mình
mqh	mối quan hệ
cgai	con gái
nhữg	những
mng	mọi người
qtam	quan tâm
thươg	thương
chug	chung
thoy	thôi
đki	đăng ký
vch	vãi chưởng
cùg	cùng
pn	bạn
thjk	thích
ktra	kiểm tra
nthe	như thế
chúg	chúng
tìh	tình
phòg	phòng
lòg	lòng
từg	từng
rằg	rằng
sốg	sống
thuơng	thương
càg	càng
bằg	bằng
sviên	sinh viên
đág	đáng
nvay	như vậy
nhjeu	nhiều
xg	xuống
zồi	rồi
trag	trang
atrai	anh trai
kte	kinh tế
độg	động
gắg	gắng
thgian	thời gian
đồg	đồng
btrai	bạn trai
nthê	như thế
hìhì	hì hì
vọg	vọng
đôg	đông
răg	răng
thườg	thường
tcảm	tình cảm
đứg	đứng
ksao	không sao
dz	đẹp trai
cmày	chúng mày
xuốg	xuống
nkư	như
lquan	liên quan
tiếg	tiếng
xih	xinh
hìh	hình
thàh	thành
ngke	nghe
dzậy	dậy
tnào	thế nào
tưởg	tưởng
ctrinh	chương trình
phog	phong
hôg	không
kũg	cũng
trọg	trọng
nthế	như thế
năg	năng
ngđó	người đó
lquen	làm quen
riêg	riêng
ngag	ngang
bnhiu	bao nhiêu
kậu	cậu
kqua	kết quả
htrc	hôm trước
địh	định
gđình	gia đình
giốg	giống
csống	cuộc sống
zùi	rồi
bnhiêu	bao nhiêu
cbị	chuẩn bị
kòn	còn
buôg	buông
csong	cuộc sống
chàg	chàng
chăg	chăng
ngàh	ngành
llac	liên lạc
nkưng	nhưng
nắg	nắng
tíh	tính
khoảg	khoảng
thík	thích
ngđo	người đó
ngkhác	người khác
thẳg	thẳng
kảm	cảm
dàh	dành
júp	giúp
lặg	lặng
vđê	vấn đề
bbè	bạn bè
bóg	bóng
dky	đăng ký
dòg	dòng
uốg	uống
tyêu	tình yêu
đthoại	điện thoại
qhe	quan hệ
cviec	công việc
tượg	tượng
qà	quà
thjc	thích
nhưq	nhưng
cđời	cuộc đời
bthường	bình thường
zà	gìa
đáh	đánh
xloi	xin lỗi
zám	dám
qtrọng	quan trọng
bìh	bình
lzi	làm gì
qhệ	quan hệ
hajzz	hai
kủa	của
lz	làm gì
đóg	đóng
cka	cha
lgi	làm gì
nvậy	như vậy
qả	quả
đkiện	điều kiện
nèk	nè
tlai	tương lai
bsĩ	bác sĩ
hkì	học kỳ
vde	vấn đề
chta	chúng ta
ltinh	linh tinh
ngyeu	người yêu
đthoai	điện thoại
snghĩ	suy nghĩ
nặg	nặng
họk	học
dừg	dừng
hphúc	hạnh phúc
wtâm	quan tâm
thíck	thích
chuện	chuyện
lạh	lạnh
ntnày	như thế này
lúk	lúc
haj	hai
mớj	mới
hsơ	hồ sơ
ctraj	con trai
nyêu	người yêu
rồii	rồi
c	chị
kih	kinh
kb	kết bạn
dthương	dễ thương
nhiềuuu	nhiều
ctrình	chương trình
mìnk	mình
mjh	mình
ng	người
vc	vợ chồng
uhm	ừm
thỳ	thì
nyc	người yêu cũ
tks	thanks
nàg	nàng
thôii	thôi
bgái	bạn gái
xink	xinh
hđộng	hành động
đhọc	đại học
mk	mình
bn	bạn
thik	thích
cj	chị
mn	mọi người
nguoi	người
hok	không
ko	không
bik	biết
vs	với
cx	cũng
mik	mình
đc	được
cmt	comment
ck	chồng
chk	chồng
ngta	người ta
gđ	gia đình
oh	ồ
vk	vợ
ctác	công tác
sg	sài gòn
ae	anh em
ah	à
ạh	ạ
rì	gì
vn	việt nam
nhaa	nha
cũg	cũng
đag	đang
ace	anh chị em
àk	à
uh	ừ
ơiii	ơi
hic	hích
hnay	hôm nay
ukm	ừm
tq	trung quốc
ctr	chương trình
đii	đi
nch	nói chuyện
trieu	triệu
hahah	ha ha
nta	người ta
ngèo	nghèo
kêh	kênh
ak	à
ad	quản trị viên
j	gì
ny	người yêu
dc	được
qc	quảng cáo
baoh	bao giờ
zui	vui
zẻ	vẻ
tym	tim
fb	facebook
insta	instagram
z	vậy
thich	thích
vcl	vô cùng lớn
đt	điện thoại
acc	account
trc	trước
qá	quá
ntn	như thế nào
wá	quá
zậy	vậy
zô	vô
ytb	youtube
xl	xin lỗi
face	facebook
hjhj	hi hi
vv	vui vẻ
ns	nói
iu	yêu
in4	info
sub	subscribe
kh	không
zạ	vậy
oy	rồi
jo	giờ
wa	quá
hjx	hix
e	em
ik	ý
ji	gì
ce	chị em
lm	làm
sr	sorry
ib	inbox
hoy	thôi
k	không
vd	ví dụ
a	anh
cũng z	cũng vậy
z là	vậy là
fen	friend
on lai	online
kô	không
hqua	hôm qua
xog	xong
nhoé	nhé
biet	biết
quí	quý
stk	số tài khoản
đươc	được
nghành	ngành
ngừoi	người
trog	trong
tgian	thời gian
biêt	biết
fải	phải
nguời	người
bth	bình thường
khg	không
nhưg	nhưng
thằg	thằng
đuợc	được
thým	thím
onl	online
cmnd	chứng minh nhân dân
sđt	số điện thoại
klq	không liên quan
ks	khách sạn
note	chú ý
chill	thư giãn dễ chịu
kg	không
hanoi	hà nội
tphcm	thành phố hồ chí minh
nhìu	nhiều
ship	giao hàng
tl	trả lời
r	rồi
trể	trễ
bh	bây giờ
ms	mới
nx	nhận xét
hd	hóa đơn
sp	sản phẩm
shiper	người giao hàng
